nome,ano,escola,nota_semestre_1,nota_semestre_2,faltas,nota_exame,monitoria
Alice Alves,3,Gabriel Gomes,8.95,7.52,9,0,TRUE
Laura Ribeiro,2,Antonio Prado,4.42,7.84,16,4.25,FALSE
Davi Oliveira,1,Antonio Prado,7.17,4.49,24,2.88,FALSE
Heloisa Gomes,3,Carlos Santos,0.47,5.1,19,0.76,TRUE
Sophia Ferreira,3,Antonio Prado,3.67,3.16,1,0.74,TRUE
Valentina Martins,3,Gabriel Gomes,3.26,6.52,6,9.27,TRUE
Heloisa Souza,2,Carlos Santos,1.29,4.94,25,7.1,TRUE
Laura Martins,1,Gabriel Gomes,8.69,1.99,5,1.52,TRUE
Bernardo Maia,2,Carlos Santos,6.13,7.4,24,1.25,FALSE
Miguel Alves,1,Gabriel Gomes,9.12,5.72,1,0,TRUE
Gael Martins,2,Francisto Chagas,4.96,8.7,15,4.47,TRUE
Helena Soares,3,Carlos Santos,2.93,3.93,25,03.09,TRUE
Maria Alves,1,Carlos Santos,5.94,0.64,3,9.83,FALSE
Arthur Maia,3,Gabriel Gomes,05.02,7.73,24,1.3,TRUE
Sophia Ferreira,3,Pedro II,8.53,4.53,29,7.26,FALSE
Arthur Alves,1,Gabriel Gomes,8.0,03.04,19,4.87,FALSE
Helena Santos,2,Pedro I,2.39,9.51,22,7.44,FALSE
Helena Maia,1,Carlos Santos,4.28,03.06,20,02.05,FALSE
Gael Souza,3,Francisto Chagas,3.23,2.99,13,7.51,TRUE
Maria Soares,1,Carlos Santos,6.88,8.82,20,0,TRUE
Miguel Rodrigues,2,Gabriel Gomes,2.75,1.69,16,02.01,FALSE
Gael Rodrigues,1,Gabriel Gomes,4.29,7.81,6,3.36,FALSE
Alice Alves,1,Antonio Prado,4.88,1.83,0,0.08,FALSE
Gabriel Gomes,2,Carlos Santos,0.51,8.46,12,3.89,TRUE
Davi Santos,2,Francisto Chagas,0.67,8.56,8,8.96,TRUE
Heloisa Alves,1,Antonio Prado,3.66,8.16,9,6.31,TRUE
Helena Soares,3,Gabriel Gomes,3.67,3.35,21,7.67,FALSE
Valentina Pereira,1,Carlos Santos,3.37,4.24,26,1.36,TRUE
Helena Maia,2,Antonio Prado,01.01,9.63,28,3.83,FALSE
Miguel Rodrigues,1,Gabriel Gomes,3.55,0.1,27,2.88,TRUE
Miguel Martins,1,Antonio Prado,9.86,6.76,28,0,FALSE
Alice Ribeiro,3,Pedro II,8.97,7.47,9,0,TRUE
Heitor Ferreira,1,Francisto Chagas,3.8,3.95,10,2.77,TRUE
Maria Souza,2,Antonio Prado,5.85,6.77,22,6.44,FALSE
Heitor Souza,1,Antonio Prado,5.25,4.38,16,9.26,TRUE
Valentina Oliveira,3,Francisto Chagas,7.47,7.58,6,0,TRUE
Bernardo Martins,2,Carlos Santos,4.95,9.22,12,0,FALSE
Valentina Alves,3,Francisto Chagas,0.14,1.38,28,0.43,TRUE
Bernardo Oliveira,1,Francisto Chagas,4.98,6.22,12,8.21,TRUE
Samuel Oliveira,2,Gabriel Gomes,1.91,0.72,17,7.26,TRUE
Theo Gomes,1,Antonio Prado,3.44,2.79,11,3.91,FALSE
Theo Rodrigues,1,Pedro I,5.22,2.13,1,4.59,TRUE
Arthur Oliveira,3,Francisto Chagas,9.17,03.05,6,08.03,TRUE
Sophia Martins,2,Gabriel Gomes,5.35,9.92,7,0,TRUE
Gabriel Ferreira,3,Pedro II,9.27,0.28,2,6.77,TRUE
Miguel Alves,3,Gabriel Gomes,6.7,5.17,2,2.16,TRUE
Laura Souza,2,Gabriel Gomes,8.34,4.53,22,5.57,FALSE
Gabriel Martins,2,Gabriel Gomes,2.27,07.05,26,2.12,FALSE
Gabriel Alves,2,Antonio Prado,9.82,5.35,6,0,FALSE
Samuel Alves,1,Gabriel Gomes,1.57,2.55,30,6.93,TRUE
Theo Rodrigues,1,Gabriel Gomes,7.25,8.13,28,0,FALSE
Gael Maia,1,Pedro II,0.21,0.31,7,2.85,FALSE
Alice Alves,1,Pedro I,7.19,2.34,23,2.7,TRUE
Gael Martins,1,Pedro I,9.1,3.64,18,2.1,TRUE
Gael Alves,2,Gabriel Gomes,2.15,2.34,10,3.75,TRUE
Davi Soares,1,Gabriel Gomes,4.54,6.53,6,02.06,FALSE
Valentina Gomes,2,Pedro II,03.04,0.4,13,7.26,TRUE
Miguel Gomes,2,Pedro I,5.65,5.78,14,3.38,TRUE
Bernardo Rodrigues,2,Francisto Chagas,3.87,8.11,4,6.23,FALSE
Theo Silva,1,Francisto Chagas,8.89,9.67,25,0,TRUE
Heitor Alves,3,Gabriel Gomes,8.8,1.5,27,7.26,FALSE
Heitor Gomes,2,Pedro I,8.7,0.85,12,6.81,FALSE
Theo Pereira,3,Carlos Santos,6.65,4.27,8,2.83,TRUE
Valentina Pereira,3,Gabriel Gomes,02.01,8.6,1,4.2,TRUE
Samuel Santos,2,Gabriel Gomes,7.29,5.75,11,4.3,FALSE
Valentina Alves,2,Pedro II,0.9,5.56,20,8.18,TRUE
Valentina Pereira,1,Antonio Prado,7.59,08.05,3,0,TRUE
Davi Silva,1,Pedro I,6.14,4.24,12,0.36,FALSE
Valentina Ribeiro,2,Carlos Santos,4.33,07.02,28,0.6,TRUE
Gael Maia,3,Antonio Prado,8.39,5.29,13,2.26,TRUE
Samuel Silva,3,Antonio Prado,0.85,6.4,2,8.14,FALSE
Miguel Pereira,2,Francisto Chagas,7.44,2.38,10,8.66,FALSE
Bernardo Pereira,3,Gabriel Gomes,5.97,3.64,8,7.85,TRUE
Davi Pereira,2,Antonio Prado,5.64,9.91,3,0,TRUE
Helena Pereira,2,Antonio Prado,4.45,9.45,27,3.98,FALSE
Helena Alves,2,Antonio Prado,5.86,0.14,30,9.58,TRUE
Bernardo Alves,2,Francisto Chagas,3.47,6.25,29,6.35,FALSE
Laura Maia,3,Gabriel Gomes,7.31,4.83,19,9.61,TRUE
Alice Pereira,1,Francisto Chagas,0.38,3.13,8,5.95,FALSE
Gael Alves,1,Francisto Chagas,6.35,9.82,17,0,TRUE
Bernardo Ferreira,1,Pedro II,8.62,6.88,16,0,FALSE
Arthur Ribeiro,1,Pedro I,3.87,9.47,28,0.43,TRUE
Samuel Soares,2,Pedro I,3.84,5.55,24,8.7,FALSE
Samuel Maia,1,Pedro II,2.85,7.16,2,6.4,TRUE
Alice Ferreira,1,Carlos Santos,7.81,5.32,8,2.27,FALSE
Bernardo Gomes,1,Pedro II,8.91,7.54,29,0,TRUE
Theo Martins,2,Pedro II,3.27,2.88,2,1.63,TRUE
Arthur Ribeiro,3,Antonio Prado,1.72,8.66,12,4.81,FALSE
Bernardo Silva,1,Pedro I,3.9,7.84,20,8.89,FALSE
Bernardo Silva,2,Pedro II,1.82,6.93,20,01.07,TRUE
Bernardo Souza,1,Pedro I,1.77,2.91,16,5.11,FALSE
Miguel Gomes,2,Carlos Santos,3.62,7.26,24,4.43,FALSE
Maria Rodrigues,1,Pedro I,3.36,3.34,14,3.59,TRUE
Sophia Alves,3,Carlos Santos,9.0,5.31,15,0,FALSE
Gabriel Souza,1,Pedro I,05.08,4.58,24,7.98,TRUE
Gael Martins,1,Pedro I,8.65,4.59,26,9.55,TRUE
Miguel Pereira,1,Antonio Prado,4.9,6.38,8,4.24,TRUE
Gabriel Ferreira,3,Pedro I,8.21,2.53,24,3.79,FALSE
Arthur Soares,2,Pedro II,7.43,8.77,17,0,TRUE
Arthur Ribeiro,1,Antonio Prado,06.07,3.71,7,8.69,TRUE
Sophia Silva,3,Gabriel Gomes,8.94,3.78,17,6.11,FALSE
Miguel Ferreira,2,Carlos Santos,9.72,2.19,5,2.15,FALSE
Valentina Alves,2,Pedro II,7.1,6.36,25,6.88,FALSE
Gabriel Oliveira,2,Pedro II,4.82,1.58,29,6.86,FALSE
Davi Silva,2,Gabriel Gomes,8.95,3.37,20,4.24,TRUE
Valentina Ribeiro,1,Francisto Chagas,8.56,4.27,4,8.38,TRUE
Gabriel Ferreira,1,Antonio Prado,6.2,2.11,30,1.27,TRUE
Davi Pereira,3,Pedro I,1.56,3.81,24,5.72,TRUE
Sophia Alves,3,Francisto Chagas,5.5,2.35,29,9.33,TRUE
Valentina Ribeiro,1,Carlos Santos,06.03,8.87,12,0,TRUE
Laura Silva,3,Gabriel Gomes,8.77,2.96,20,8.69,TRUE
Laura Rodrigues,3,Carlos Santos,8.36,02.05,7,6.63,FALSE
Helena Alves,2,Carlos Santos,02.03,9.41,23,4.92,FALSE
Gael Gomes,2,Pedro II,6.33,1.61,6,04.02,TRUE
Bernardo Ferreira,2,Gabriel Gomes,7.72,09.06,9,0,FALSE
Bernardo Alves,2,Pedro I,6.52,2.9,23,6.76,TRUE
Gabriel Souza,1,Francisto Chagas,2.12,7.16,15,4.5,FALSE
Arthur Oliveira,1,Pedro II,05.02,9.62,12,0,FALSE
Alice Maia,1,Antonio Prado,4.77,9.65,25,0,TRUE
Heloisa Rodrigues,2,Francisto Chagas,8.92,5.87,28,0,TRUE
Bernardo Alves,3,Francisto Chagas,6.71,3.64,8,0.54,FALSE
Valentina Oliveira,2,Pedro II,4.15,7.49,18,4.42,FALSE
Miguel Alves,1,Antonio Prado,0.08,9.28,3,3.14,TRUE
Alice Alves,1,Pedro II,0.28,4.63,19,5.32,TRUE
Miguel Santos,2,Pedro II,4.83,4.73,13,1.78,FALSE
Theo Alves,3,Pedro II,8.93,6.13,28,0,FALSE
Valentina Ferreira,1,Pedro I,6.99,03.07,21,3.31,TRUE
Davi Pereira,3,Gabriel Gomes,2.8,5.15,19,6.15,TRUE
Miguel Ferreira,1,Pedro II,5.49,9.68,3,0,TRUE
Laura Rodrigues,3,Gabriel Gomes,8.6,7.98,8,0,FALSE
Bernardo Martins,1,Pedro I,8.18,5.43,10,6.75,TRUE
Sophia Pereira,3,Carlos Santos,4.7,6.57,27,7.83,FALSE
Maria Oliveira,3,Antonio Prado,02.03,07.04,28,4.12,FALSE
Gael Ribeiro,1,Pedro I,05.06,5.42,0,8.24,TRUE
Arthur Ferreira,2,Francisto Chagas,9.11,3.42,1,6.62,FALSE
Theo Alves,3,Pedro I,8.99,6.34,19,0,FALSE
Arthur Martins,1,Antonio Prado,7.27,4.11,9,8.92,TRUE
Heloisa Ribeiro,2,Gabriel Gomes,2.44,5.23,26,7.32,TRUE
Heitor Rodrigues,2,Gabriel Gomes,8.55,8.19,5,0,TRUE
Arthur Oliveira,3,Francisto Chagas,1.53,05.06,7,7.72,TRUE
Maria Ferreira,2,Francisto Chagas,0.16,5.44,9,1.17,TRUE
Davi Soares,1,Gabriel Gomes,7.28,1.24,10,6.26,FALSE
Heitor Alves,2,Antonio Prado,8.5,5.72,8,0,FALSE
Heitor Ferreira,1,Gabriel Gomes,1.68,4.52,30,0.83,TRUE
Samuel Martins,2,Antonio Prado,4.24,4.71,24,6.9,FALSE
Heloisa Ferreira,2,Gabriel Gomes,4.65,4.55,4,3.64,TRUE
Arthur Pereira,1,Pedro II,6.24,4.52,30,0.39,FALSE
Maria Santos,2,Gabriel Gomes,9.16,0.18,15,5.27,TRUE
Helena Oliveira,3,Pedro I,3.87,4.14,12,6.64,FALSE
Arthur Santos,3,Gabriel Gomes,8.68,5.43,27,0,FALSE
Helena Silva,2,Pedro I,5.77,6.27,20,3.45,TRUE
Helena Soares,1,Antonio Prado,02.06,2.46,20,04.02,FALSE
Gael Maia,1,Carlos Santos,3.1,3.37,3,2.75,FALSE
Maria Alves,2,Gabriel Gomes,0.67,0.08,5,7.12,TRUE
Miguel Maia,2,Pedro I,5.82,6.79,11,6.63,TRUE
Alice Silva,3,Francisto Chagas,0.04,2.9,16,05.04,TRUE
Heloisa Ribeiro,1,Francisto Chagas,5.25,0.38,5,07.05,FALSE
Arthur Martins,3,Gabriel Gomes,9.3,05.08,26,0,FALSE
Sophia Maia,1,Pedro I,08.05,8.52,16,0,FALSE
Maria Santos,2,Pedro I,7.88,8.22,17,0,TRUE
Heitor Pereira,3,Francisto Chagas,6.65,3.92,20,7.89,FALSE
Gael Soares,2,Gabriel Gomes,2.36,08.03,30,4.34,TRUE
Miguel Ferreira,2,Francisto Chagas,7.98,3.49,27,1.47,TRUE
Helena Oliveira,2,Antonio Prado,4.59,2.27,21,0.6,TRUE
Heitor Maia,1,Carlos Santos,8.17,3.25,4,0.92,FALSE
Maria Rodrigues,2,Pedro II,1.74,2.0,13,7.81,FALSE
Laura Alves,1,Carlos Santos,4.86,6.4,16,5.89,FALSE
Maria Alves,1,Gabriel Gomes,7.86,4.54,1,4.21,FALSE
Gabriel Alves,3,Carlos Santos,0.22,0.25,21,7.15,TRUE
Bernardo Maia,2,Pedro II,1.96,0.63,15,9.51,FALSE
Helena Ferreira,1,Francisto Chagas,0.38,2.92,6,9.7,TRUE
Sophia Souza,2,Francisto Chagas,2.96,3.11,2,5.46,FALSE
Theo Ferreira,2,Pedro I,7.69,4.31,12,6.21,FALSE
Davi Ribeiro,1,Antonio Prado,07.05,02.08,9,7.89,FALSE
Heitor Pereira,1,Gabriel Gomes,5.14,3.77,22,3.88,FALSE
Theo Alves,2,Antonio Prado,7.19,7.12,19,0,TRUE
Gael Alves,3,Gabriel Gomes,3.92,7.62,23,04.07,TRUE
Miguel Souza,2,Antonio Prado,4.53,9.95,29,0,FALSE
Heitor Alves,2,Pedro I,1.27,6.38,1,6.98,FALSE
Alice Rodrigues,3,Antonio Prado,4.84,8.1,7,6.73,FALSE
Sophia Alves,2,Pedro II,8.25,2.42,8,9.27,FALSE
Helena Alves,3,Antonio Prado,5.59,7.97,2,4.53,TRUE
Bernardo Oliveira,2,Pedro I,2.13,7.25,27,4.18,FALSE
Miguel Ferreira,3,Carlos Santos,0.57,9.52,19,9.66,TRUE
Gael Silva,3,Francisto Chagas,6.27,7.24,24,1.41,TRUE
Alice Soares,1,Pedro II,1.79,5.83,23,3.4,TRUE
Samuel Alves,1,Antonio Prado,6.73,9.36,6,0,TRUE
Theo Alves,3,Pedro I,8.13,6.52,6,0,FALSE
Miguel Silva,3,Pedro II,6.77,01.01,2,8.7,FALSE
Bernardo Gomes,1,Antonio Prado,9.86,4.14,12,0,TRUE
Valentina Ribeiro,3,Carlos Santos,7.73,5.98,23,3.87,FALSE
Heitor Souza,1,Pedro II,5.44,2.73,3,7.7,FALSE
Laura Ribeiro,1,Carlos Santos,0.03,5.4,29,5.39,FALSE
Laura Oliveira,1,Pedro II,6.83,5.94,14,2.19,TRUE
Sophia Alves,3,Pedro II,4.21,7.21,3,0.59,TRUE
Helena Pereira,3,Gabriel Gomes,3.6,1.79,12,1.97,TRUE
Samuel Santos,3,Francisto Chagas,3.92,5.3,30,3.18,FALSE
Heitor Ferreira,2,Pedro II,1.65,1.84,14,6.13,FALSE
Miguel Gomes,1,Pedro I,3.54,04.03,28,7.32,TRUE
Miguel Soares,3,Pedro II,7.36,5.0,16,5.47,TRUE
Maria Maia,3,Francisto Chagas,3.97,8.59,18,2.82,FALSE
Miguel Souza,3,Pedro I,0.08,2.93,9,7.8,TRUE
Sophia Santos,3,Carlos Santos,1.52,5.2,28,7.11,TRUE
Gael Ferreira,1,Antonio Prado,4.22,06.06,14,6.49,TRUE
Gael Alves,1,Francisto Chagas,4.46,8.51,19,4.83,FALSE
Alice Silva,3,Pedro II,2.43,7.4,19,03.08,TRUE
Davi Martins,3,Francisto Chagas,6.87,2.85,11,0.82,TRUE
Laura Soares,3,Pedro II,2.1,6.75,28,9.82,TRUE
Sophia Ferreira,1,Pedro I,7.63,6.57,18,0,TRUE
Alice Maia,1,Gabriel Gomes,4.43,3.55,22,08.07,FALSE
Maria Silva,2,Pedro II,3.52,05.04,0,4.65,FALSE
Laura Santos,2,Carlos Santos,0.94,8.34,9,6.76,TRUE
Valentina Alves,3,Pedro II,3.29,3.97,8,6.23,FALSE
Gabriel Martins,3,Gabriel Gomes,1.55,7.47,5,1.77,FALSE
Alice Martins,3,Carlos Santos,9.9,8.38,13,0,TRUE
Miguel Alves,1,Pedro II,8.19,6.59,16,0,FALSE
Alice Alves,3,Carlos Santos,1.85,7.31,0,6.39,TRUE
Alice Pereira,3,Francisto Chagas,9.88,2.82,6,0.32,FALSE
Miguel Pereira,1,Francisto Chagas,4.24,1.96,30,09.01,FALSE
Gael Martins,2,Francisto Chagas,9.0,4.32,3,0.01,FALSE
Heloisa Oliveira,2,Pedro I,1.16,1.99,6,1.86,TRUE
Laura Maia,1,Francisto Chagas,1.45,09.01,11,2.39,FALSE
Miguel Santos,1,Gabriel Gomes,05.04,1.83,18,4.89,FALSE
Bernardo Alves,2,Carlos Santos,3.37,2.35,28,3.81,FALSE
Alice Martins,2,Antonio Prado,3.43,3.66,20,5.29,FALSE
Arthur Alves,3,Gabriel Gomes,2.33,5.92,0,8.45,FALSE
Theo Martins,2,Pedro II,06.04,0.42,0,1.29,TRUE
Laura Souza,3,Pedro I,03.02,3.7,24,3.86,FALSE
Theo Gomes,2,Pedro II,0.24,0.26,23,4.44,FALSE
Heloisa Souza,1,Antonio Prado,8.3,5.36,27,4.23,TRUE
Laura Silva,2,Antonio Prado,6.23,9.72,5,0,TRUE
Laura Alves,1,Antonio Prado,7.19,9.6,12,0,FALSE
Bernardo Ferreira,1,Gabriel Gomes,0.86,2.13,11,8.36,TRUE
Maria Martins,3,Antonio Prado,8.13,1.62,24,5.72,TRUE
Laura Soares,2,Pedro I,4.54,8.41,13,0.61,FALSE
Davi Souza,3,Carlos Santos,5.23,1.64,1,6.29,FALSE
Miguel Maia,3,Carlos Santos,5.79,3.55,4,8.16,FALSE
Theo Soares,3,Francisto Chagas,8.39,5.64,12,0,FALSE
Heitor Alves,3,Francisto Chagas,2.76,2.8,19,8.96,FALSE
Helena Gomes,1,Pedro II,7.29,0.73,2,6.87,FALSE
Miguel Rodrigues,1,Pedro II,01.06,8.42,26,09.04,FALSE
Theo Soares,1,Carlos Santos,5.61,06.07,2,1.14,TRUE
Gael Rodrigues,1,Carlos Santos,2.27,5.83,29,3.62,FALSE
Valentina Ribeiro,2,Pedro II,2.92,4.55,18,9.26,FALSE
Samuel Oliveira,3,Pedro II,9.65,2.22,12,9.96,FALSE
Arthur Pereira,2,Francisto Chagas,9.15,1.99,21,08.09,TRUE
Alice Soares,1,Francisto Chagas,4.82,0.65,2,5.69,TRUE
Gael Souza,1,Pedro I,0.35,9.58,8,6.94,FALSE
Gael Ribeiro,3,Gabriel Gomes,5.91,7.87,17,07.01,TRUE
Valentina Soares,3,Antonio Prado,05.02,7.23,10,6.0,TRUE
Maria Santos,3,Pedro II,0.63,9.75,19,4.56,TRUE
Sophia Silva,2,Antonio Prado,2.73,4.65,0,9.56,TRUE
Helena Alves,2,Pedro II,5.84,2.59,24,4.56,FALSE
Maria Alves,2,Pedro II,5.32,0.75,8,7.5,TRUE
Laura Santos,2,Antonio Prado,2.57,8.23,1,6.58,FALSE
Laura Santos,3,Gabriel Gomes,0.03,5.16,23,6.68,FALSE
Arthur Silva,1,Pedro II,4.45,5.34,13,7.39,FALSE
Alice Martins,2,Antonio Prado,3.18,2.15,4,1.44,FALSE
Heloisa Oliveira,2,Carlos Santos,9.88,6.92,23,0,TRUE
Samuel Rodrigues,3,Francisto Chagas,8.66,04.09,19,0.69,TRUE
Gael Souza,1,Pedro I,8.43,2.26,17,4.31,TRUE
Miguel Oliveira,1,Gabriel Gomes,5.43,3.72,13,4.83,TRUE
Maria Alves,1,Gabriel Gomes,5.96,4.55,14,8.28,FALSE
Miguel Pereira,3,Antonio Prado,3.76,8.66,21,3.48,TRUE
Laura Pereira,2,Pedro I,7.46,9.97,15,0,TRUE
Helena Oliveira,1,Carlos Santos,0.76,2.49,28,2.87,FALSE
Samuel Ribeiro,2,Gabriel Gomes,2.37,0.23,29,0.93,TRUE
Samuel Souza,2,Carlos Santos,0.89,7.22,23,4.35,TRUE
Gabriel Silva,1,Gabriel Gomes,1.78,1.38,6,4.96,FALSE
Samuel Rodrigues,1,Gabriel Gomes,2.27,7.37,28,6.97,TRUE
Gabriel Gomes,1,Gabriel Gomes,7.43,4.96,27,4.53,FALSE
Heitor Martins,3,Gabriel Gomes,4.73,01.05,30,5.66,FALSE
Arthur Soares,1,Pedro I,9.25,1.73,22,4.99,FALSE
Gael Rodrigues,1,Pedro II,9.75,5.46,28,0,FALSE
Maria Ribeiro,3,Francisto Chagas,4.25,7.49,18,0.34,FALSE
Gael Alves,2,Carlos Santos,0.5,08.06,0,0.76,TRUE
Bernardo Alves,2,Pedro I,1.56,0.16,19,1.2,FALSE
Laura Rodrigues,3,Antonio Prado,9.2,2.85,18,1.93,TRUE
Maria Gomes,1,Gabriel Gomes,8.15,9.9,0,0,FALSE
Theo Santos,3,Antonio Prado,1.27,4.4,21,6.88,TRUE
Helena Martins,1,Antonio Prado,2.3,1.81,2,6.94,TRUE
Bernardo Pereira,2,Pedro II,6.46,1.31,8,8.46,TRUE
Arthur Pereira,2,Francisto Chagas,8.8,0.73,20,2.46,FALSE
Davi Ribeiro,1,Antonio Prado,1.23,1.36,16,3.73,FALSE
Heloisa Maia,2,Gabriel Gomes,5.86,05.03,6,5.66,TRUE
Davi Ribeiro,3,Antonio Prado,9.71,0.77,4,4.2,TRUE
Maria Souza,1,Pedro I,6.15,1.46,17,7.36,FALSE
Gabriel Santos,1,Pedro I,5.28,5.53,10,6.91,TRUE
Miguel Souza,2,Antonio Prado,0.22,1.25,1,0.2,FALSE
Helena Pereira,3,Gabriel Gomes,1.13,3.27,2,3.28,TRUE
Sophia Martins,3,Gabriel Gomes,8.27,1.12,4,3.18,FALSE
Samuel Souza,3,Pedro I,4.27,8.56,10,7.19,FALSE
Miguel Ribeiro,2,Pedro II,2.34,9.33,13,0.96,TRUE
Theo Rodrigues,1,Carlos Santos,8.44,3.62,25,3.34,TRUE
Laura Alves,3,Antonio Prado,5.61,4.56,5,01.09,TRUE
Valentina Alves,1,Francisto Chagas,2.33,6.25,15,6.67,FALSE
Sophia Ribeiro,1,Antonio Prado,2.3,9.52,27,6.0,FALSE
Samuel Rodrigues,3,Francisto Chagas,6.37,0.2,15,4.99,FALSE
Samuel Alves,2,Pedro II,4.24,3.56,0,6.81,FALSE
Davi Silva,3,Carlos Santos,7.24,6.15,3,4.51,FALSE
Gabriel Alves,3,Pedro I,3.29,2.85,22,8.48,FALSE
Alice Alves,2,Gabriel Gomes,1.11,7.3,16,5.98,TRUE
Theo Martins,1,Francisto Chagas,8.35,4.15,11,9.91,FALSE
Laura Alves,3,Pedro I,5.51,7.99,20,08.05,FALSE
Davi Gomes,3,Gabriel Gomes,6.92,9.78,0,0,FALSE
Heloisa Santos,3,Francisto Chagas,4.15,3.19,5,2.61,TRUE
Arthur Ribeiro,2,Pedro I,1.53,9.96,0,7.47,FALSE
Laura Rodrigues,1,Antonio Prado,7.22,5.81,11,06.07,FALSE
Heloisa Ribeiro,1,Pedro II,3.4,4.6,18,9.28,TRUE
Davi Soares,3,Pedro I,6.0,1.46,26,5.31,FALSE
Alice Santos,2,Antonio Prado,1.94,6.83,17,0.52,TRUE
Gabriel Gomes,3,Carlos Santos,10.0,2.47,16,7.51,TRUE
Bernardo Alves,3,Pedro II,02.05,0.22,15,1.64,FALSE
Theo Souza,1,Francisto Chagas,03.01,0.91,22,1.58,FALSE
Bernardo Rodrigues,3,Antonio Prado,6.14,1.59,29,1.29,FALSE
Alice Rodrigues,1,Francisto Chagas,3.63,0.98,12,2.77,TRUE
Alice Maia,3,Pedro II,9.25,2.84,5,7.97,FALSE
Alice Ribeiro,3,Pedro I,4.86,1.83,25,2.76,TRUE
Maria Ribeiro,1,Pedro II,1.33,0.87,17,9.41,TRUE
Gael Souza,1,Carlos Santos,3.8,8.3,25,1.51,TRUE
Arthur Martins,2,Pedro II,5.47,7.84,21,06.09,TRUE
Miguel Santos,1,Francisto Chagas,5.41,5.41,14,5.5,FALSE
Gabriel Santos,1,Gabriel Gomes,9.19,4.67,4,5.18,FALSE
Helena Silva,2,Carlos Santos,6.36,7.25,14,4.87,FALSE
Laura Silva,3,Antonio Prado,0.51,9.91,0,3.87,TRUE
Samuel Ribeiro,1,Gabriel Gomes,9.1,1.39,29,0.96,TRUE
Valentina Gomes,1,Carlos Santos,9.61,8.34,26,0,TRUE
Heloisa Alves,1,Gabriel Gomes,9.25,1.97,15,0.31,FALSE
Heloisa Soares,2,Pedro II,9.21,5.23,26,0,FALSE
Maria Maia,3,Gabriel Gomes,4.99,0.69,15,1.9,FALSE
Gabriel Alves,3,Francisto Chagas,6.94,2.93,10,1.84,TRUE
Bernardo Soares,2,Carlos Santos,3.57,1.86,0,7.16,TRUE
Davi Gomes,2,Gabriel Gomes,1.81,0.56,24,8.78,TRUE
Bernardo Gomes,1,Antonio Prado,8.36,5.12,23,5.23,FALSE
Sophia Rodrigues,2,Pedro I,2.38,4.39,8,0.41,TRUE
Davi Martins,2,Francisto Chagas,1.65,4.43,24,3.69,FALSE
Samuel Ferreira,1,Pedro I,8.33,1.47,3,0.49,FALSE
Bernardo Oliveira,2,Antonio Prado,9.35,4.77,12,0,TRUE
Heloisa Pereira,3,Gabriel Gomes,1.87,01.02,27,4.59,TRUE
Sophia Pereira,1,Pedro I,9.23,8.53,13,0,FALSE
Miguel Silva,1,Antonio Prado,7.89,8.58,27,0,FALSE
Heitor Gomes,2,Francisto Chagas,2.9,7.74,3,6.45,TRUE
Alice Santos,1,Pedro I,6.43,9.39,5,0,TRUE
Heitor Souza,3,Pedro I,6.91,8.41,26,0,FALSE
Theo Rodrigues,2,Pedro II,0.59,9.29,21,4.43,TRUE
Gabriel Ribeiro,2,Pedro II,1.37,2.37,21,3.11,FALSE
Gabriel Souza,1,Carlos Santos,4.67,6.53,23,1.48,TRUE
Helena Souza,1,Carlos Santos,3.47,2.85,12,09.01,FALSE
Gabriel Alves,2,Carlos Santos,0.38,9.6,0,5.9,FALSE
Gael Ferreira,3,Pedro I,8.62,06.08,22,0,FALSE
Helena Alves,2,Pedro I,3.67,5.81,4,1.37,FALSE
Helena Pereira,1,Pedro II,2.7,6.15,5,8.28,FALSE
Alice Gomes,2,Francisto Chagas,6.8,9.1,11,0,TRUE
Miguel Souza,1,Pedro II,3.24,7.83,21,5.56,TRUE
Laura Souza,1,Antonio Prado,3.97,8.45,30,0.75,FALSE
Theo Souza,3,Carlos Santos,0.13,0.28,3,1.92,FALSE
Miguel Gomes,3,Antonio Prado,1.23,3.64,16,3.94,TRUE
Sophia Silva,2,Pedro I,8.21,6.34,11,0,FALSE
Bernardo Rodrigues,3,Carlos Santos,2.78,1.12,17,04.01,TRUE
Heloisa Alves,3,Carlos Santos,4.49,2.76,17,2.52,TRUE
Valentina Martins,3,Antonio Prado,6.99,1.18,25,1.66,FALSE
Laura Ribeiro,3,Carlos Santos,7.36,0.68,30,5.33,FALSE
Heloisa Alves,2,Carlos Santos,0.06,9.47,3,3.42,TRUE
Valentina Pereira,3,Carlos Santos,2.34,4.25,7,02.03,TRUE
Alice Soares,1,Francisto Chagas,2.7,3.36,24,5.62,FALSE
Laura Rodrigues,3,Francisto Chagas,5.12,03.02,30,6.71,TRUE
Miguel Silva,2,Antonio Prado,4.34,6.59,23,3.65,FALSE
Miguel Alves,1,Francisto Chagas,6.3,3.17,21,1.57,TRUE
Gael Silva,1,Pedro II,7.25,7.29,1,0,FALSE
Bernardo Alves,3,Antonio Prado,3.1,0.4,27,2.75,FALSE
Bernardo Soares,1,Carlos Santos,1.69,0.94,26,3.6,TRUE
Gael Gomes,3,Francisto Chagas,6.78,7.76,7,0,TRUE
Helena Silva,2,Antonio Prado,6.6,7.31,25,5.6,FALSE
Heitor Silva,3,Pedro II,2.84,6.58,20,6.38,FALSE
Theo Oliveira,2,Francisto Chagas,08.05,1.38,27,4.3,FALSE
